Race,Accuracy,Precision,Recall,F1 Score
Black,0.9301729660474055,0.7160493827160493,0.6480446927374302,0.6803519061583577
White,0.858905386988021,0.7070981778623878,0.7449856733524355,0.7255476489465607
Asian-Pac-Islander,0.8458333333333333,0.7092198581560284,0.7518796992481203,0.7299270072992701
Other,0.9185185185185185,0.9375,0.6,0.7317073170731707
Amer-Indian-Eskimo,0.9308176100628931,0.75,0.631578947368421,0.6857142857142857
