Sex,Accuracy,Precision,Recall,F1 Score
Male,0.8322586588061901,0.7068319400403574,0.7530712530712531,0.7292193308550186
Female,0.935239852398524,0.7200736648250461,0.6627118644067796,0.6902030008826125
